2018 Rank,City,State,2018 Estimate,2010 Census,Change (%),2016 Land Area (sq mi),2016 Land Area (km2),2016 Population Density (sq mi),2016 Population Density (km2),Location (N),Location (W)
162,Lakewood,Colorado,156798.0,142980.0,9.66,42.9,111.1,3599.0,1390.0,39.6989,105.1176
163,Clarksville,Tennessee,156794.0,132929.0,17.95,98.3,254.6,1529.0,590.0,36.5664,87.3452
164,Palmdale,California,156667.0,152750.0,2.56,106.0,274.5,1484.0,573.0,34.591,118.1054
165,Salinas,California,156259.0,150441.0,3.87,23.6,61.1,6662.0,2572.0,36.6902,121.6337
166,Springfield,Massachusetts,155032.0,153060.0,1.29,31.9,82.6,4830.0,1860.0,42.1155,72.54
167,Hollywood,Florida,154823.0,140768.0,9.98,27.3,70.7,5568.0,2150.0,26.031,80.1646
168,Pasadena,Texas,153219.0,149043.0,2.8,43.5,112.7,3525.0,1361.0,29.6586,95.1506
169,Sunnyvale,California,153185.0,140081.0,9.35,22.0,57.0,6944.0,2681.0,37.3858,122.0263
170,Macon,Georgia,153095.0,91351.0,67.59,249.3,645.7,612.0,236.0,32.8088,83.6942
171,Kansas City,Kansas,152958.0,145786.0,4.92,124.8,323.2,1216.0,470.0,39.1225,94.7418
172,Pomona,California,152361.0,149058.0,2.22,23.0,59.6,6630.0,2560.0,34.0585,117.7611
173,Escondido,California,152213.0,143911.0,5.77,37.1,96.1,4087.0,1578.0,33.1331,117.074
174,Killeen,Texas,149103.0,127921.0,16.56,53.5,138.6,2680.0,1030.0,31.0777,97.732
175,Naperville,Illinois,148304.0,141853.0,4.55,38.7,100.2,3802.0,1468.0,41.7492,88.162
176,Joliet,Illinois,148099.0,147433.0,0.45,64.4,166.8,2302.0,889.0,41.5177,88.1488
177,Bellevue,Washington,147599.0,122363.0,20.62,33.5,86.8,4221.0,1630.0,47.5979,122.1565
178,Rockford,Illinois,146526.0,152871.0,-4.15,63.5,164.5,2325.0,898.0,42.2588,89.0646
179,Savannah,Georgia,145862.0,136286.0,7.03,103.6,268.3,1417.0,547.0,32.0025,81.1536
180,Paterson,New Jersey,145627.0,146199.0,-0.39,8.4,21.8,17500.0,6800.0,40.9148,74.1628
181,Torrance,California,145182.0,145438.0,-0.18,20.5,53.1,7180.0,2770.0,33.835,118.3414
182,Bridgeport,Connecticut,144900.0,144229.0,0.47,16.1,41.7,9064.0,3500.0,41.1874,73.1958
183,McAllen,Texas,143433.0,129877.0,10.44,58.4,151.3,2435.0,940.0,26.2322,98.2464
184,Mesquite,Texas,142816.0,139824.0,2.14,47.2,122.2,3045.0,1176.0,32.7629,96.5888
185,Syracuse,New York,142749.0,145170.0,-1.67,25.0,64.7,5735.0,2214.0,43.041,76.1436
186,Midland,Texas,142344.0,111147.0,28.07,74.4,192.7,1809.0,698.0,32.0246,102.1135
187,Pasadena,California,141371.0,137122.0,3.1,23.0,59.6,6176.0,2385.0,34.1606,118.1396
188,Murfreesboro,Tennessee,141344.0,108755.0,29.97,55.9,144.8,2360.0,910.0,35.8522,86.416
189,Miramar,Florida,140823.0,122041.0,15.39,29.4,76.1,4709.0,1818.0,25.977,80.3358
190,Dayton,Ohio,140640.0,141527.0,-0.63,55.7,144.3,2522.0,974.0,39.7774,84.1996
191,Fullerton,California,139640.0,135161.0,3.31,22.4,58.0,6282.0,2425.0,33.8857,117.928
192,Olathe,Kansas,139605.0,125872.0,10.91,60.9,157.7,2225.0,859.0,38.8843,94.8195
193,Orange,California,139484.0,136416.0,2.25,25.4,65.8,5532.0,2136.0,33.787,117.8613
194,Thornton,Colorado,139436.0,118772.0,17.4,35.7,92.5,3829.0,1478.0,39.9194,104.9428
195,Roseville,California,139117.0,118788.0,17.11,43.0,111.4,3085.0,1191.0,38.769,121.3189
196,Denton,Texas,138541.0,113383.0,22.19,93.4,241.9,1433.0,553.0,33.2166,97.1414
